TITLE,LIKES,SHARES
"Unbeknownst to most people who work outside of agriculture, some of people’s favourite seasonal produce often have a portion of their harvest leftover and unwanted – including bananas, pineapples, mangos, sapodilla, guava and cashew nuts.",6,0
"Sneakers made from banana or pineapple leaves, dresses from nettles or fish scales – the search for sustainable materials has taken the fashion industry to some wild places.",6,0
Ecuadoran biologist Jorge Brito was trekking through the forest when he heard what he thought was the chirp of a cricket.,5,0
"Minister of National Defence General Tea Banh on March 18 asked Vietnam to take in Cambodian cadets for military training and send trainers to the Kingdom, according to the ministry’s Information Department.",3,0
Residents of a small town in western Mexico are celebrating the reintroduction into the wild of the tequila fish – an endemic species saved from the brink of extinction.,3,0
"In February, Minister of Interior Sar Kheng received 97 new inquiries and requests from citizens through his personal Facebook page, the minister said on March 18.",4,0
"Cambodia, Greece to kick off first consultative dialogue ‘soon’",7,1
"Unbeknownst to most people who work outside of agriculture, some of people’s favourite seasonal produce often have a portion of their harvest leftover and unwanted – including bananas, pineapples, mangos, sapodilla, guava and cashew nuts.",6,0
"Sneakers made from banana or pineapple leaves, dresses from nettles or fish scales – the search for sustainable materials has taken the fashion industry to some wild places.",6,0
Ecuadoran biologist Jorge Brito was trekking through the forest when he heard what he thought was the chirp of a cricket.,5,0
"Minister of National Defence General Tea Banh on March 18 asked Vietnam to take in Cambodian cadets for military training and send trainers to the Kingdom, according to the ministry’s Information Department.",3,0
Residents of a small town in western Mexico are celebrating the reintroduction into the wild of the tequila fish – an endemic species saved from the brink of extinction.,3,0
"In February, Minister of Interior Sar Kheng received 97 new inquiries and requests from citizens through his personal Facebook page, the minister said on March 18.",4,0
"Cambodia, Greece to kick off first consultative dialogue ‘soon’",7,1
The top anti-drug official is calling for concerted efforts to raise public awareness around the dangers of certain controlled substances during the coming Khmer New Year holidays in mid-April.,4,0
2022-27 development strategy for garments to launch Mar 21,11,2
Prime Minister Hun Sen has called for Cambodia and Saudi Arabia to step up cooperation in economic sectors and other areas in the Southeast Asian Kingdom with lucrative prospects.,7,0
"The Ministry of Health on March 19 reported 117 new Covid-19 cases, nine of which were imported and all were confirmed to be the Omicron variant.",7,0
‘Cultural Landscape of the Bunong People’ named to international conservation advocacy programme,15,1
"In 2021, at the behest of the government, Royal Academy of Cambodia (RAC) president Sok Touch studied and investigated the challenges facing the Tonle Sap Lake, which covers an area of 640,000ha. He sat down with The Post to discuss the findings of his research.",1,0
"The Ministry for Agriculture, Forestry and Fisheries is preparing a draft law on phytosanitation and the protection of plants in order to strengthen biosecurity measures on imported agricultural products and increase confidence of Cambodia’s trading partners.",14,1
"The volume of imports and exports handled at the Sihanoukville Special Economic Zone (SSEZ) clocked in at about $437 million in the first two months of 2022, marking a 42.81 per cent rise year-on-year from $306 million, according to a statement released by the operator.",2,0
